gene1.1	gene1_v1.1
gene_c1_14610V3.1	gene_c1_14610V1.1
gene_c1_14630V3.1	gene_c1_14630V1.1
gene_c1_14631V3.1	
gene_c1_14640V3.1	gene_c1_14640V1.1
gene_c1_14660V3.1	gene_c1_14660V1.1
gene_c1_14663V3.1	
gene_c1_14670V3.1	gene_c1_14670V1.1
gene_c1_14690V3.1	gene_c1_14690V1.1
gene_c1_14740V3.1	gene_c1_14740V1.1
gene_c1_14750V3.1	gene_c1_14750V1.1
gene_c1_14760V3.1	gene_c1_14760V1.1
gene_c1_14770V3.1	gene_c1_14770V1.1
gene_c1_14780V3.1	
gene_c1_14800V3.1	gene_c1_14800V1.1
gene_c1_14810V3.1	
gene_c1_14870V3.1	gene_c1_14870V1.1
gene_c1_14880V3.1	gene_c1_14880V1.1
gene_c1_14900V3.1	gene_c1_14900V1.1
gene_c1_14910V3.1	gene_c1_14910V1.1
gene_c1_14920V3.1	gene_c1_14920V1.1
gene_c1_14930V3.1	gene_c1_14930V1.1
gene_c1_14940V3.1	gene_c1_14940V1.1
gene_c1_14950V3.1	gene_c1_14950V1.1
gene_c1_14980V3.1	gene_c1_14980V1.1
gene_c1_15000V3.1	
gene_c1_15010V3.1	gene_c1_15010V1.1
gene_c1_15011V3.1	
gene_c1_15030V3.1	gene_c1_15030V1.1
gene_c1_15040V3.1	gene_c1_15040V1.1
gene_c1_15060V3.1	gene_c1_15060V1.1
gene_c1_15080V3.1	
gene_c1_15090V3.1	gene_c1_15090V1.1
gene_c1_15100V3.1	gene_c1_15100V1.1
gene_c1_1510V3.1	gene_c1_1510V1.1
gene_c1_15110V3.1	gene_c1_15110V1.1
gene_c1_15130V3.1	gene_c1_15130V1.1
gene_c1_15140V3.1	gene_c1_15140V1.1
gene_c1_15150V3.1	gene_c1_15150V1.1
gene_c1_15160V3.1	gene_c1_15160V1.1
gene_c1_15210V3.1	gene_c1_15210V1.1
gene_c1_15220V3.1	gene_c1_15220V1.1
gene_c1_15279V3.1	
gene_c1_15290V3.1	gene_c1_15290V1.1
gene_c1_15294V3.1	
gene_c1_15300V3.1	gene_c1_15300V1.1
gene_c1_1530V3.1	gene_c1_1530V1.1
gene_c1_15310V3.1	gene_c1_15310V1.1
gene_c1_15380V3.1	gene_c1_15380V1.1
gene_c1_15390V3.1	gene_c1_15390V1.1
gene_c1_15400V3.1	gene_c1_15400V1.1
gene_c1_15410V3.1	gene_c1_15410V1.1
gene_c1_15430V3.1	gene_c1_15430V1.1
gene_c1_15440V3.1	gene_c1_15440V1.1
gene_c1_15460V3.1	gene_c1_15460V1.1
gene_c1_15490V3.1	gene_c1_15490V1.1
gene_c1_15500V3.1	gene_c1_15500V1.1
gene_c1_15510V3.1	gene_c1_15510V1.1
gene_c1_15530V3.1	gene_c1_15530V1.1
gene_c1_15560V3.1	gene_c1_15560V1.1
gene_c1_15620V3.1	gene_c1_15620V1.1
gene_c1_15635V3.1	
gene_c1_15680V3.1	gene_c1_15680V1.1
gene_c1_15690V3.1	gene_c1_15690V1.1
gene_c1_1570V3.1	gene_c1_1570V1.1
gene_c1_15730V3.1	gene_c1_15730V1.1
gene_c1_15740V3.1	gene_c1_15740V1.1
gene_c1_15750V3.1	gene_c1_15750V1.1
gene_c1_15780V3.1	gene_c1_15780V1.1
gene_c1_15810V3.1	gene_c1_15810V1.1
gene_c1_15830V3.1	gene_c1_15830V1.1
gene_c1_15840V3.1	gene_c1_15840V1.1
gene_c1_15860V3.1	gene_c1_15860V1.1
gene_c1_15890V3.1	
gene_c1_15900V3.1	gene_c1_15900V1.1
gene_c1_15940V3.1	gene_c1_15940V1.1
gene_c1_15950V3.1	gene_c1_15950V1.1
gene_c1_15970V3.1	gene_c1_15970V1.1
gene_c1_15980V3.1	gene_c1_15980V1.1
gene_c1_16001V3.1	
gene_c1_16010V3.1	gene_c1_16010V1.1
gene_c1_16110V3.1	gene_c1_16110V1.1
gene_c1_16170V3.1	gene_c1_16170V1.1
gene_c1_16240V3.1	gene_c1_16240V1.1
gene_c1_16250V3.1	gene_c1_16250V1.1
gene_c1_16260V3.1	gene_c1_16260V1.1
gene_c1_16390V3.1	
gene_c1_16430V3.1	gene_c1_16430V1.1
gene_c1_16440V3.1	gene_c1_16440V1.1
gene_c1_16461V3.1	
gene_c1_16480V3.1	gene_c1_16480V1.1
gene_c1_16490V3.1	gene_c1_16490V1.1
gene_c1_16491V3.1	
gene_c1_16500V3.1	gene_c1_16500V1.1
gene_c1_1650V3.1	gene_c1_1650V1.1
gene_c1_16510V3.1	gene_c1_16510V1.1
gene_c1_16600V3.1	gene_c1_16600V1.1
gene_c1_16650V3.1	gene_c1_16650V1.1
gene_c1_16690V3.1	gene_c1_16690V1.1
gene_c1_16700V3.1	gene_c1_16700V1.1
gene_c1_16780V3.1	gene_c1_16780V1.1
gene_c1_16800V3.1	gene_c1_16800V1.1
gene_c1_16810V3.1	gene_c1_16810V1.1
gene_c1_16820V3.1	gene_c1_16820V1.1
gene_c1_16840V3.1	gene_c1_16840V1.1
gene_c1_16850V3.1	gene_c1_16850V1.1
gene_c1_16870V3.1	gene_c1_16870V1.1
gene_c1_16900V3.1	gene_c1_16900V1.1
gene_c1_16910V3.1	gene_c1_16910V1.1
gene_c1_16920V3.1	gene_c1_16920V1.1
gene_c1_16980V3.1	gene_c1_16980V1.1
gene_c1_17080V3.1	gene_c1_17080V1.1
gene_c1_170V3.1	gene_c1_170V1.1
gene_c1_1710V3.1	gene_c1_1710V1.1
gene_c1_1720V3.1	gene_c1_1720V1.1
gene_c1_17220V3.1	gene_c1_17220V1.1
gene_c1_17230V3.1	gene_c1_17230V1.1
gene_c1_17350V3.1	gene_c1_17350V1.1
gene_c1_17360V3.1	gene_c1_17360V1.1
gene_c1_17370V3.1	gene_c1_17370V1.1
gene_c1_1740V3.1	gene_c1_1740V1.1
gene_c1_17410V3.1	gene_c1_17410V1.1
gene_c1_17430V3.1	gene_c1_17430V1.1
gene_c1_17450V3.1	gene_c1_17450V1.1
gene_c1_17463V3.1	
gene_c1_17470V3.1	gene_c1_17470V1.1
gene_c1_1761V3.1	
gene_c1_17710V3.1	gene_c1_17710V1.1
gene_c1_17721V3.1	
gene_c1_17760V3.1	gene_c1_17760V1.1
gene_c1_17860V3.1	gene_c1_17860V1.1
gene_c1_17870V3.1	gene_c1_17870V1.1
gene_c1_17880V3.1	gene_c1_17880V1.1
gene_c1_17909V3.1	
gene_c1_1790V3.1	gene_c1_1790V1.1
gene_c1_17930V3.1	gene_c1_17930V1.1
gene_c1_17950V3.1	gene_c1_17950V1.1
gene_c1_17970V3.1	gene_c1_17970V1.1
gene_c1_17990V3.1	gene_c1_17990V1.1
gene_c1_1800V3.1	gene_c1_1800V1.1
gene_c1_18010V3.1	gene_c1_18010V1.1
gene_c1_18030V3.1	gene_c1_18030V1.1
gene_c1_18050V3.1	gene_c1_18050V1.1
gene_c1_18060V3.1	gene_c1_18060V1.1
gene_c1_18061V3.1	
gene_c1_18090V3.1	gene_c1_18090V1.1
gene_c1_18100V3.1	gene_c1_18100V1.1
gene_c1_1810V3.1	gene_c1_1810V1.1
gene_c1_18110V3.1	gene_c1_18110V1.1
gene_c1_18120V3.1	gene_c1_18120V1.1
gene_c1_18130V3.1	gene_c1_18130V1.1
gene_c1_18139V3.1	
gene_c1_18150V3.1	gene_c1_18150V1.1
gene_c1_18160V3.1	
gene_c1_18170V3.1	gene_c1_18170V1.1
gene_c1_18190V3.1	gene_c1_18190V1.1
gene_c1_18200V3.1	gene_c1_18200V1.1
gene_c1_1820V3.1	gene_c1_1820V1.1
gene_c1_18210V3.1	gene_c1_18210V1.1
gene_c1_18250V3.1	gene_c1_18250V1.1
gene_c1_18259V3.1	
gene_c1_18260V3.1	gene_c1_18260V1.1
gene_c1_18270V3.1	gene_c1_18270V1.1
gene_c1_18280V3.1	gene_c1_18280V1.1
gene_c1_18350V3.1	gene_c1_18350V1.1
gene_c1_18360V3.1	gene_c1_18360V1.1
gene_c1_18380V3.1	gene_c1_18380V1.1
gene_c1_18390V3.1	gene_c1_18390V1.1
gene_c1_18400V3.1	gene_c1_18400V1.1
gene_c1_18420V3.1	gene_c1_18420V1.1
gene_c1_18430V3.1	gene_c1_18430V1.1
gene_c1_18440V3.1	gene_c1_18440V1.1
gene_c1_18460V3.1	gene_c1_18460V1.1
gene_c1_18470V3.1	gene_c1_18470V1.1
gene_c1_18490V3.1	gene_c1_18490V1.1
gene_c1_18520V3.1	gene_c1_18520V1.1
gene_c1_18530V3.1	gene_c1_18530V1.1
gene_c1_1860V3.1	gene_c1_1860V1.1
gene_c1_18620V3.1	gene_c1_18620V1.1
gene_c1_18680V3.1	gene_c1_18680V1.1
gene_c1_18690V3.1	gene_c1_18690V1.1
gene_c1_18700V3.1	gene_c1_18700V1.1
gene_c1_1870V3.1	gene_c1_1870V1.1
gene_c1_1880V3.1	gene_c1_1880V1.1
gene_c1_18830V3.1	gene_c1_18830V1.1
gene_c1_1883V3.1	
gene_c1_18840V3.1	gene_c1_18840V1.1
gene_c1_18850V3.1	gene_c1_18850V1.1
gene_c1_18860V3.1	gene_c1_18860V1.1
gene_c1_18880V3.1	gene_c1_18880V1.1
gene_c1_18910V3.1	gene_c1_18910V1.1
gene_c1_18911V3.1	
gene_c1_18920V3.1	gene_c1_18920V1.1
gene_c1_18930V3.1	gene_c1_18930V1.1
gene_c1_18940V3.1	gene_c1_18940V1.1
gene_c1_18949V3.1	
gene_c1_18990V3.1	gene_c1_18990V1.1
gene_c1_19000V3.1	
gene_c1_19010V3.1	gene_c1_19010V1.1
gene_c1_19060V3.1	gene_c1_19060V1.1
gene_c1_190V3.1	gene_c1_190V1.1
gene_c1_19130V3.1	gene_c1_19130V1.1
gene_c1_19176V3.1	
gene_c1_19190V3.1	gene_c1_19190V1.1
gene_c1_19200V3.1	gene_c1_19200V1.1
gene_c1_19210V3.1	gene_c1_19210V1.1
gene_c1_19220V3.1	gene_c1_19220V1.1
gene_c1_19230V3.1	gene_c1_19230V1.1
gene_c1_19240V3.1	gene_c1_19240V1.1
gene_c1_19270V3.1	gene_c1_19270V1.1
gene_c1_19290V3.1	gene_c1_19290V1.1
gene_c1_19310V3.1	gene_c1_19310V1.1
gene_c1_19340V3.1	gene_c1_19340V1.1
gene_c1_19370V3.1	gene_c1_19370V1.1
gene_c1_19400V3.1	gene_c1_19400V1.1
gene_c1_1940V3.1	gene_c1_1940V1.1
gene_c1_19420V3.1	gene_c1_19420V1.1
gene_c1_19590V3.1	gene_c1_19590V1.1
gene_c1_19610V3.1	gene_c1_19610V1.1
gene_c1_19620V3.1	gene_c1_19620V1.1
gene_c1_19630V3.1	gene_c1_19630V1.1
gene_c1_19660V3.1	gene_c1_19660V1.1
gene_c1_19680V3.1	gene_c1_19680V1.1
gene_c1_19690V3.1	gene_c1_19690V1.1
gene_c1_19710V3.1	gene_c1_19710V1.1
gene_c1_19720V3.1	gene_c1_19720V1.1
gene_c1_19750V3.1	gene_c1_19750V1.1
gene_c1_19762V3.1	
gene_c1_19769V3.1	
gene_c1_19780V3.1	gene_c1_19780V1.1
gene_c1_19800V3.1	gene_c1_19800V1.1
gene_c1_19830V3.1	gene_c1_19830V1.1
gene_c1_19831V3.1	
gene_c1_19850V3.1	gene_c1_19850V1.1
gene_c1_19859V3.1	
gene_c1_19940V3.1	gene_c1_19940V1.1
gene_c1_19950V3.1	gene_c1_19950V1.1
gene_c1_19980V3.1	gene_c1_19980V1.1
gene_c1_20010V3.1	gene_c1_20010V1.1
gene_c1_20030V3.1	gene_c1_20030V1.1
gene_c1_20040V3.1	gene_c1_20040V1.1
gene_c1_20050V3.1	gene_c1_20050V1.1
gene_c1_20081V3.1	
gene_c1_20090V3.1	gene_c1_20090V1.1
gene_c1_200V3.1	gene_c1_200V1.1
gene_c1_20100V3.1	gene_c1_20100V1.1
gene_c1_2010V3.1	gene_c1_2010V1.1
gene_c1_20124V3.1	
gene_c1_20151V3.1	
gene_c1_20190V3.1	gene_c1_20190V1.1
gene_c1_20220V3.1	gene_c1_20220V1.1
gene_c1_20230V3.1	gene_c1_20230V1.1
gene_c1_20250V3.1	gene_c1_20250V1.1
gene_c1_20280V3.1	gene_c1_20280V1.1
gene_c1_20290V3.1	gene_c1_20290V1.1
gene_c1_20310V3.1	gene_c1_20310V1.1
gene_c1_20320V3.1	
gene_c1_20330V3.1	gene_c1_20330V1.1
gene_c1_20350V3.1	gene_c1_20350V1.1
gene_c1_20360V3.1	gene_c1_20360V1.1
gene_c1_20380V3.1	gene_c1_20380V1.1
gene_c1_2040V3.1	gene_c1_2040V1.1
gene_c1_20410V3.1	gene_c1_20410V1.1
gene_c1_20420V3.1	gene_c1_20420V1.1
gene_c1_20430V3.1	gene_c1_20430V1.1
gene_c1_20440V3.1	gene_c1_20440V1.1
gene_c1_20580V3.1	gene_c1_20580V1.1
gene_c1_20610V3.1	gene_c1_20610V1.1
gene_c1_20630V3.1	gene_c1_20630V1.1
gene_c1_20640V3.1	gene_c1_20640V1.1
gene_c1_20650V3.1	gene_c1_20650V1.1
gene_c1_20660V3.1	gene_c1_20660V1.1
gene_c1_20670V3.1	gene_c1_20670V1.1
gene_c1_20680V3.1	gene_c1_20680V1.1
gene_c1_20690V3.1	gene_c1_20690V1.1
gene_c1_20700V3.1	gene_c1_20700V1.1
gene_c1_20710V3.1	gene_c1_20710V1.1
gene_c1_20720V3.1	gene_c1_20720V1.1
gene_c1_20740V3.1	gene_c1_20740V1.1
gene_c1_20750V3.1	gene_c1_20750V1.1
gene_c1_20753V3.1	
gene_c1_20760V3.1	
gene_c1_20770V3.1	gene_c1_20770V1.1
gene_c1_20780V3.1	gene_c1_20780V1.1
gene_c1_20790V3.1	gene_c1_20790V1.1
gene_c1_20800V3.1	
gene_c1_20810V3.1	gene_c1_20810V1.1
gene_c1_20830V3.1	gene_c1_20830V1.1
gene_c1_20832V3.1	
gene_c1_20859V3.1	
gene_c1_20870V3.1	gene_c1_20870V1.1
gene_c1_20880V3.1	gene_c1_20880V1.1
gene_c1_20900V3.1	gene_c1_20900V1.1
gene_c1_2090V3.1	gene_c1_2090V1.1
gene_c1_20910V3.1	gene_c1_20910V1.1
gene_c1_20930V3.1	gene_c1_20930V1.1
gene_c1_20960V3.1	gene_c1_20960V1.1
gene_c1_20980V3.1	gene_c1_20980V1.1
gene_c1_20V3.1	gene_c1_20V1.1
gene_c1_21000V3.1	gene_c1_21000V1.1
gene_c1_21010V3.1	gene_c1_21010V1.1
gene_c1_21020V3.1	gene_c1_21020V1.1
gene_c1_21050V3.1	gene_c1_21050V1.1
gene_c1_210V3.1	gene_c1_210V1.1
gene_c1_21100V3.1	gene_c1_21100V1.1
gene_c1_21110V3.1	gene_c1_21110V1.1
gene_c1_21114V3.1	
gene_c1_21120V3.1	gene_c1_21120V1.1
gene_c1_21140V3.1	gene_c1_21140V1.1
gene_c1_21150V3.1	gene_c1_21150V1.1
gene_c1_21160V3.1	gene_c1_21160V1.1
gene_c1_21200V3.1	gene_c1_21200V1.1
gene_c1_21210V3.1	gene_c1_21210V1.1
gene_c1_21230V3.1	gene_c1_21230V1.1
gene_c1_21250V3.1	gene_c1_21250V1.1
gene_c1_21270V3.1	gene_c1_21270V1.1
gene_c1_21290V3.1	gene_c1_21290V1.1
gene_c1_21300V3.1	gene_c1_21300V1.1
gene_c1_21310V3.1	gene_c1_21310V1.1
gene_c1_21320V3.1	gene_c1_21320V1.1
gene_c1_21330V3.1	gene_c1_21330V1.1
gene_c1_21360V3.1	gene_c1_21360V1.1
gene_c1_21370V3.1	gene_c1_21370V1.1
gene_c1_21380V3.1	
gene_c1_21400V3.1	gene_c1_21400V1.1
gene_c1_21470V3.1	gene_c1_21470V1.1
gene_c1_21480V3.1	gene_c1_21480V1.1
gene_c1_21510V3.1	gene_c1_21510V1.1
gene_c1_21530V3.1	gene_c1_21530V1.1
gene_c1_21540V3.1	gene_c1_21540V1.1
gene_c1_21550V3.1	gene_c1_21550V1.1
gene_c1_21570V3.1	gene_c1_21570V1.1
gene_c1_21610V3.1	gene_c1_21610V1.1
gene_c1_2161V3.1	
gene_c1_21620V3.1	gene_c1_21620V1.1
gene_c1_21630V3.1	gene_c1_21630V1.1
gene_c1_21650V3.1	gene_c1_21650V1.1
gene_c1_21660V3.1	gene_c1_21660V1.1
gene_c1_21670V3.1	gene_c1_21670V1.1
gene_c1_21680V3.1	gene_c1_21680V1.1
gene_c1_21690V3.1	gene_c1_21690V1.1
gene_c1_21700V3.1	gene_c1_21700V1.1
gene_c1_2170V3.1	gene_c1_2170V1.1
gene_c1_21720V3.1	gene_c1_21720V1.1
gene_c1_21730V3.1	gene_c1_21730V1.1
gene_c1_21740V3.1	gene_c1_21740V1.1
gene_c1_21760V3.1	gene_c1_21760V1.1
gene_c1_21780V3.1	
gene_c1_21783V3.1	
gene_c1_21790V3.1	gene_c1_21790V1.1
