gene1.1	gene1_v2.1
gene_c1_1290V3.1	gene_s200_74V2.1
gene_c1_12911V3.1	gene_s86_199V2.1;gene_s86_200V2.1
gene_c1_12940V3.1	gene_s86_197V2.1
gene_c1_12950V3.1	gene_s86_196V2.1
gene_c1_12960V3.1	
gene_c1_12990V3.1	gene_s86_189V2.1
gene_c1_1300V3.1	gene_s200_73V2.1
gene_c1_13010V3.1	gene_s86_187V2.1
gene_c1_13020V3.1	gene_s86_182V2.1;gene_s86_186V2.1
gene_c1_13030V3.1	gene_s86_186V2.1
gene_c1_13050V3.1	gene_s86_180V2.1
gene_c1_13060V3.1	gene_s86_178V2.1;gene_s86_179V2.1
gene_c1_13080V3.1	gene_s86_175V2.1
gene_c1_1310V3.1	gene_s200_72V2.1
gene_c1_13120V3.1	gene_s86_160V2.1
gene_c1_13140V3.1	gene_s86_159V2.1
gene_c1_13170V3.1	gene_s86_156V2.1
gene_c1_13190V3.1	gene_s86_153V2.1
gene_c1_13200V3.1	gene_s86_152V2.1
gene_c1_1320V3.1	gene_s200_70V2.1
gene_c1_13240V3.1	gene_s86_149V2.1
gene_c1_13260V3.1	gene_s86_147V2.1
gene_c1_13270V3.1	gene_s86_146V2.1
gene_c1_13280V3.1	
gene_c1_13290V3.1	gene_s86_143V2.1
gene_c1_13300V3.1	gene_s86_142V2.1
gene_c1_13308V3.1	gene_s86_142V2.1
gene_c1_1330V3.1	gene_s200_69V2.1
gene_c1_13320V3.1	
gene_c1_13370V3.1	gene_s86_135V2.1
gene_c1_13380V3.1	gene_s86_134V2.1
gene_c1_13420V3.1	gene_s86_129V2.1
gene_c1_13430V3.1	gene_s86_128V2.1
gene_c1_13461V3.1	
gene_c1_13530V3.1	
gene_c1_13570V3.1	gene_s86_103V2.1
gene_c1_13600V3.1	gene_s86_100V2.1
gene_c1_1360V3.1	gene_s200_64V2.1;gene_s200_65V2.1
gene_c1_13640V3.1	gene_s86_95V2.1;gene_s86_96V2.1
gene_c1_13670V3.1	gene_s86_93V2.1
gene_c1_13671V3.1	
gene_c1_13710V3.1	gene_s86_85V2.1
gene_c1_13720V3.1	gene_s86_83V2.1
gene_c1_13760V3.1	
gene_c1_13780V3.1	gene_s86_77V2.1
gene_c1_13800V3.1	gene_s86_75V2.1;gene_s86_76V2.1
gene_c1_13820V3.1	gene_s86_73V2.1
gene_c1_13830V3.1	gene_s86_72V2.1
gene_c1_13840V3.1	gene_s86_71V2.1
gene_c1_13870V3.1	gene_s86_67V2.1;gene_s86_68V2.1
gene_c1_13890V3.1	gene_s86_66V2.1
gene_c1_1390V3.1	gene_s200_62V2.1
gene_c1_13910V3.1	gene_s86_63V2.1
gene_c1_13930V3.1	gene_s86_61V2.1
gene_c1_13950V3.1	
gene_c1_13990V3.1	gene_s86_58V2.1
gene_c1_14000V3.1	gene_s86_57V2.1
gene_c1_14030V3.1	gene_s86_56V2.1
gene_c1_14040V3.1	gene_s86_54V2.1
gene_c1_140V3.1	gene_s283_22V2.1
gene_c1_14120V3.1	gene_s86_52V2.1
gene_c1_14130V3.1	
gene_c1_14150V3.1	gene_s86_42V2.1
gene_c1_1420V3.1	
gene_c1_1421V3.1	
gene_c1_14230V3.1	gene_s86_33V2.1
gene_c1_14250V3.1	gene_s86_31V2.1
gene_c1_14290V3.1	gene_s86_26V2.1
gene_c1_14300V3.1	gene_s86_25V2.1
gene_c1_14310V3.1	gene_s86_24V2.1
gene_c1_14330V3.1	gene_s86_22V2.1
gene_c1_14380V3.1	gene_s86_10V2.1
gene_c1_14440V3.1	gene_s86_4V2.1
gene_c1_14480V3.1	gene_s86_1V2.1
gene_c1_14540V3.1	gene_s230_8V2.1;gene_s230_9V2.1
gene_c1_14550V3.1	gene_s230_8V2.1;gene_s230_9V2.1
gene_c1_145V3.1	gene_s283_22V2.1
gene_c1_14600V3.1	
gene_c1_14610V3.1	
gene_c1_14630V3.1	gene_s230_15V2.1
gene_c1_14631V3.1	gene_s230_15V2.1
gene_c1_14640V3.1	gene_s230_16V2.1
gene_c1_14660V3.1	gene_s230_18V2.1
gene_c1_14663V3.1	gene_s230_18V2.1
gene_c1_14670V3.1	gene_s230_19V2.1
gene_c1_14690V3.1	
gene_c1_14740V3.1	gene_s230_28V2.1
gene_c1_14750V3.1	gene_s230_31V2.1
gene_c1_14760V3.1	gene_s230_32V2.1
gene_c1_14770V3.1	gene_s230_33V2.1
gene_c1_14780V3.1	gene_s230_34V2.1
gene_c1_14800V3.1	gene_s230_36V2.1
gene_c1_14810V3.1	gene_s230_37V2.1
gene_c1_14870V3.1	gene_s230_38V2.1
gene_c1_14880V3.1	gene_s230_39V2.1
gene_c1_14900V3.1	gene_s230_41V2.1
gene_c1_14910V3.1	gene_s230_42V2.1
gene_c1_14920V3.1	gene_s230_43V2.1
gene_c1_14930V3.1	
gene_c1_14940V3.1	gene_s230_45V2.1
gene_c1_14950V3.1	
gene_c1_14980V3.1	gene_s230_50V2.1
gene_c1_15000V3.1	gene_s230_54V2.1
gene_c1_15010V3.1	gene_s230_53V2.1
gene_c1_15011V3.1	gene_s230_53V2.1
gene_c1_15030V3.1	gene_s230_57V2.1
gene_c1_15040V3.1	gene_s230_57V2.1
gene_c1_15060V3.1	gene_s230_61V2.1
gene_c1_15080V3.1	
gene_c1_15090V3.1	gene_s230_64V2.1
gene_c1_15100V3.1	gene_s230_66V2.1
gene_c1_1510V3.1	
gene_c1_15110V3.1	gene_s230_68V2.1
gene_c1_15130V3.1	gene_s230_71V2.1
gene_c1_15140V3.1	gene_s230_72V2.1
gene_c1_15150V3.1	gene_s230_73V2.1;gene_s230_74V2.1
gene_c1_15160V3.1	gene_s230_73V2.1;gene_s230_74V2.1
gene_c1_15210V3.1	gene_s230_76V2.1
gene_c1_15220V3.1	gene_s230_78V2.1
gene_c1_15279V3.1	
gene_c1_15290V3.1	gene_s230_85V2.1
gene_c1_15294V3.1	
gene_c1_15300V3.1	gene_s230_90V2.1
gene_c1_1530V3.1	gene_s200_49V2.1
gene_c1_15310V3.1	gene_s230_93V2.1
gene_c1_15380V3.1	gene_s63_215V2.1
gene_c1_15390V3.1	gene_s63_214V2.1
gene_c1_15400V3.1	gene_s63_213V2.1
gene_c1_15410V3.1	gene_s63_211V2.1;gene_s63_212V2.1
gene_c1_15430V3.1	gene_s63_210V2.1
gene_c1_15440V3.1	gene_s63_209V2.1
gene_c1_15460V3.1	gene_s63_208V2.1
gene_c1_15490V3.1	gene_s63_206V2.1
gene_c1_15500V3.1	gene_s63_205V2.1
gene_c1_15510V3.1	
gene_c1_15530V3.1	gene_s63_199V2.1;gene_s63_200V2.1
gene_c1_15560V3.1	gene_s63_198V2.1
gene_c1_15620V3.1	gene_s63_192V2.1;gene_s63_193V2.1
gene_c1_15635V3.1	gene_s63_188V2.1;gene_s63_189V2.1
gene_c1_15680V3.1	gene_s63_181V2.1;gene_s63_184V2.1
gene_c1_15690V3.1	gene_s63_179V2.1
gene_c1_1570V3.1	gene_s200_47V2.1
gene_c1_15730V3.1	gene_s63_173V2.1
gene_c1_15740V3.1	gene_s63_172V2.1
gene_c1_15750V3.1	gene_s63_171V2.1
gene_c1_15780V3.1	gene_s63_167V2.1;gene_s63_169V2.1
gene_c1_15810V3.1	gene_s63_164V2.1
gene_c1_15830V3.1	gene_s63_162V2.1
gene_c1_15840V3.1	gene_s63_161V2.1
gene_c1_15860V3.1	
gene_c1_15890V3.1	gene_s63_154V2.1
gene_c1_15900V3.1	
gene_c1_15940V3.1	gene_s63_149V2.1
gene_c1_15950V3.1	gene_s63_147V2.1;gene_s63_148V2.1
gene_c1_15970V3.1	gene_s63_144V2.1
gene_c1_15980V3.1	gene_s63_145V2.1
gene_c1_16001V3.1	gene_s63_141V2.1
gene_c1_16010V3.1	gene_s63_141V2.1
gene_c1_16110V3.1	gene_s63_130V2.1
gene_c1_16170V3.1	gene_s63_123V2.1
gene_c1_16240V3.1	gene_s63_120V2.1
gene_c1_16250V3.1	gene_s63_119V2.1
gene_c1_16260V3.1	gene_s63_117V2.1;gene_s63_118V2.1
gene_c1_16390V3.1	gene_s63_108V2.1;gene_s63_110V2.1
gene_c1_16430V3.1	gene_s63_106V2.1
gene_c1_16440V3.1	gene_s63_105V2.1
gene_c1_16461V3.1	gene_s63_102V2.1
gene_c1_16480V3.1	gene_s63_99V2.1
gene_c1_16490V3.1	gene_s63_97V2.1
gene_c1_16491V3.1	
gene_c1_16500V3.1	gene_s63_96V2.1
gene_c1_1650V3.1	gene_s200_41V2.1
gene_c1_16510V3.1	gene_s63_95V2.1
gene_c1_16600V3.1	gene_s63_91V2.1
gene_c1_16650V3.1	
gene_c1_16690V3.1	gene_s63_81V2.1
gene_c1_16700V3.1	gene_s63_80V2.1
gene_c1_16780V3.1	gene_s63_71V2.1
gene_c1_16800V3.1	gene_s63_67V2.1
gene_c1_16810V3.1	gene_s63_65V2.1
gene_c1_16820V3.1	gene_s63_63V2.1
gene_c1_16840V3.1	gene_s63_62V2.1
gene_c1_16850V3.1	gene_s63_61V2.1
gene_c1_16870V3.1	
gene_c1_16900V3.1	gene_s63_54V2.1
gene_c1_16910V3.1	gene_s63_52V2.1
gene_c1_16920V3.1	gene_s63_51V2.1
gene_c1_16980V3.1	gene_s63_47V2.1
gene_c1_17080V3.1	gene_s63_43V2.1
gene_c1_170V3.1	gene_s283_24V2.1;gene_s283_25V2.1
gene_c1_1710V3.1	
gene_c1_1720V3.1	gene_s200_33V2.1
gene_c1_17220V3.1	gene_s63_27V2.1
gene_c1_17230V3.1	gene_s63_25V2.1
gene_c1_17350V3.1	
gene_c1_17360V3.1	gene_s63_16V2.1
gene_c1_17370V3.1	gene_s63_14V2.1;gene_s63_15V2.1;gene_s63_16V2.1
gene_c1_1740V3.1	gene_s200_31V2.1;gene_s200_32V2.1
gene_c1_17410V3.1	
gene_c1_17430V3.1	gene_s63_11V2.1
gene_c1_17450V3.1	gene_s63_8V2.1;gene_s63_9V2.1
gene_c1_17463V3.1	gene_s63_7V2.1
gene_c1_17470V3.1	
gene_c1_1761V3.1	gene_s200_29V2.1
gene_c1_17710V3.1	gene_s63_3V2.1
gene_c1_17721V3.1	
gene_c1_17760V3.1	gene_s43_253V2.1;gene_s43_255V2.1
gene_c1_17860V3.1	gene_s646_1V2.1
gene_c1_17870V3.1	gene_s570_2V2.1
gene_c1_17880V3.1	gene_s570_1V2.1
gene_c1_17909V3.1	gene_s43_3V2.1
gene_c1_1790V3.1	gene_s200_26V2.1;gene_s200_27V2.1
gene_c1_17930V3.1	gene_s43_5V2.1;gene_s43_6V2.1
gene_c1_17950V3.1	gene_s43_6V2.1
gene_c1_17970V3.1	
gene_c1_17990V3.1	gene_s43_8V2.1
gene_c1_1800V3.1	gene_s200_25V2.1
gene_c1_18010V3.1	gene_s43_12V2.1
gene_c1_18030V3.1	
gene_c1_18050V3.1	gene_s43_13V2.1
gene_c1_18060V3.1	
gene_c1_18061V3.1	
gene_c1_18090V3.1	gene_s43_17V2.1;gene_s43_18V2.1
gene_c1_18100V3.1	gene_s43_17V2.1
gene_c1_1810V3.1	gene_s200_23V2.1
gene_c1_18110V3.1	gene_s43_19V2.1
gene_c1_18120V3.1	
gene_c1_18130V3.1	gene_s43_21V2.1
gene_c1_18139V3.1	
gene_c1_18150V3.1	gene_s43_22V2.1
gene_c1_18160V3.1	
gene_c1_18170V3.1	
gene_c1_18190V3.1	gene_s43_25V2.1
gene_c1_18200V3.1	gene_s43_27V2.1
gene_c1_1820V3.1	gene_s200_22V2.1
gene_c1_18210V3.1	gene_s43_30V2.1;gene_s43_31V2.1
gene_c1_18250V3.1	gene_s43_32V2.1
gene_c1_18259V3.1	
gene_c1_18260V3.1	gene_s43_33V2.1
gene_c1_18270V3.1	gene_s43_34V2.1
gene_c1_18280V3.1	gene_s43_35V2.1;gene_s43_36V2.1
gene_c1_18350V3.1	
gene_c1_18360V3.1	
gene_c1_18380V3.1	gene_s43_42V2.1
gene_c1_18390V3.1	gene_s43_45V2.1
gene_c1_18400V3.1	gene_s43_46V2.1
gene_c1_18420V3.1	gene_s43_48V2.1
gene_c1_18430V3.1	
gene_c1_18440V3.1	gene_s43_49V2.1
gene_c1_18460V3.1	gene_s43_50V2.1
gene_c1_18470V3.1	gene_s43_51V2.1
gene_c1_18490V3.1	gene_s43_55V2.1
gene_c1_18520V3.1	
gene_c1_18530V3.1	
gene_c1_1860V3.1	gene_s200_19V2.1
gene_c1_18620V3.1	
gene_c1_18680V3.1	
gene_c1_18690V3.1	
gene_c1_18700V3.1	
gene_c1_1870V3.1	gene_s200_18V2.1
gene_c1_1880V3.1	gene_s200_17V2.1
gene_c1_18830V3.1	gene_s43_66V2.1;gene_s43_67V2.1;gene_s43_78V2.1;gene_s43_79V2.1
gene_c1_1883V3.1	
gene_c1_18840V3.1	
gene_c1_18850V3.1	
gene_c1_18860V3.1	gene_s43_80V2.1
gene_c1_18880V3.1	gene_s43_83V2.1
gene_c1_18910V3.1	
gene_c1_18911V3.1	gene_s43_87V2.1
gene_c1_18920V3.1	gene_s43_87V2.1
gene_c1_18930V3.1	
gene_c1_18940V3.1	gene_s43_88V2.1
gene_c1_18949V3.1	gene_s43_89V2.1
gene_c1_18990V3.1	gene_s43_92V2.1;gene_s43_93V2.1
gene_c1_19000V3.1	
gene_c1_19010V3.1	gene_s43_96V2.1
gene_c1_19060V3.1	gene_s43_101V2.1
gene_c1_190V3.1	gene_s283_26V2.1
gene_c1_19130V3.1	gene_s43_105V2.1
gene_c1_19176V3.1	
gene_c1_19190V3.1	gene_s43_118V2.1
gene_c1_19200V3.1	gene_s43_119V2.1
gene_c1_19210V3.1	gene_s43_120V2.1
gene_c1_19220V3.1	gene_s43_121V2.1
gene_c1_19230V3.1	gene_s43_124V2.1
gene_c1_19240V3.1	gene_s43_126V2.1
gene_c1_19270V3.1	gene_s43_129V2.1;gene_s43_130V2.1
gene_c1_19290V3.1	gene_s43_130V2.1;gene_s43_131V2.1
gene_c1_19310V3.1	gene_s43_134V2.1
gene_c1_19340V3.1	gene_s43_137V2.1
gene_c1_19370V3.1	gene_s43_140V2.1
gene_c1_19400V3.1	gene_s43_141V2.1
gene_c1_1940V3.1	gene_s200_12V2.1
gene_c1_19420V3.1	gene_s43_143V2.1;gene_s43_144V2.1
gene_c1_19590V3.1	gene_s43_153V2.1
gene_c1_19610V3.1	gene_s1060_1V2.1;gene_s43_154V2.1
gene_c1_19620V3.1	
gene_c1_19630V3.1	
gene_c1_19660V3.1	gene_s43_165V2.1
gene_c1_19680V3.1	gene_s43_166V2.1
gene_c1_19690V3.1	
gene_c1_19710V3.1	gene_s43_170V2.1
gene_c1_19720V3.1	gene_s43_172V2.1
gene_c1_19750V3.1	gene_s704_1V2.1
gene_c1_19762V3.1	
gene_c1_19769V3.1	gene_s704_9V2.1
gene_c1_19780V3.1	gene_s43_173V2.1
gene_c1_19800V3.1	gene_s43_176V2.1
gene_c1_19830V3.1	gene_s43_178V2.1
gene_c1_19831V3.1	gene_s43_178V2.1
gene_c1_19850V3.1	gene_s43_181V2.1
gene_c1_19859V3.1	gene_s43_183V2.1;gene_s43_186V2.1
gene_c1_19940V3.1	
gene_c1_19950V3.1	gene_s43_193V2.1
gene_c1_19980V3.1	gene_s43_196V2.1
gene_c1_20010V3.1	gene_s43_199V2.1
gene_c1_20030V3.1	gene_s43_204V2.1
gene_c1_20040V3.1	gene_s43_205V2.1
gene_c1_20050V3.1	gene_s43_206V2.1;gene_s43_207V2.1
gene_c1_20081V3.1	
gene_c1_20090V3.1	gene_s43_209V2.1
gene_c1_200V3.1	gene_s283_27V2.1
gene_c1_20100V3.1	gene_s43_210V2.1
gene_c1_2010V3.1	gene_s200_1V2.1
gene_c1_20124V3.1	
gene_c1_20151V3.1	gene_s43_215V2.1
gene_c1_20190V3.1	gene_s43_223V2.1
gene_c1_20220V3.1	gene_s43_227V2.1
gene_c1_20230V3.1	gene_s43_228V2.1
gene_c1_20250V3.1	gene_s43_229V2.1
gene_c1_20280V3.1	gene_s43_232V2.1
gene_c1_20290V3.1	gene_s43_233V2.1;gene_s43_234V2.1
gene_c1_20310V3.1	gene_s43_234V2.1
gene_c1_20320V3.1	gene_s43_235V2.1
gene_c1_20330V3.1	gene_s43_236V2.1
gene_c1_20350V3.1	gene_s43_239V2.1
gene_c1_20360V3.1	gene_s43_240V2.1
gene_c1_20380V3.1	gene_s43_247V2.1
gene_c1_2040V3.1	gene_s445_2V2.1
gene_c1_20410V3.1	
gene_c1_20420V3.1	gene_s43_251V2.1
gene_c1_20430V3.1	gene_s43_252V2.1
gene_c1_20440V3.1	
gene_c1_20580V3.1	gene_s568_1V2.1;gene_s568_2V2.1
gene_c1_20610V3.1	gene_s568_5V2.1
gene_c1_20630V3.1	gene_s568_6V2.1
gene_c1_20640V3.1	gene_s568_8V2.1
gene_c1_20650V3.1	gene_s540_1V2.1
gene_c1_20660V3.1	gene_s540_4V2.1
gene_c1_20670V3.1	gene_s540_5V2.1
gene_c1_20680V3.1	gene_s540_6V2.1
gene_c1_20690V3.1	gene_s540_6V2.1;gene_s540_7V2.1
gene_c1_20700V3.1	gene_s540_8V2.1
gene_c1_20710V3.1	gene_s540_9V2.1
gene_c1_20720V3.1	gene_s540_10V2.1
gene_c1_20740V3.1	gene_s540_11V2.1
gene_c1_20750V3.1	gene_s540_14V2.1
gene_c1_20753V3.1	gene_s540_14V2.1
gene_c1_20760V3.1	gene_s540_16V2.1
gene_c1_20770V3.1	gene_s257_1V2.1
gene_c1_20780V3.1	gene_s257_3V2.1
gene_c1_20790V3.1	gene_s257_4V2.1;gene_s257_6V2.1
gene_c1_20800V3.1	gene_s257_6V2.1
gene_c1_20810V3.1	gene_s257_5V2.1;gene_s257_6V2.1
gene_c1_20830V3.1	gene_s257_7V2.1
gene_c1_20832V3.1	gene_s257_7V2.1
gene_c1_20859V3.1	
gene_c1_20870V3.1	gene_s257_12V2.1
gene_c1_20880V3.1	gene_s257_13V2.1
gene_c1_20900V3.1	gene_s257_15V2.1
gene_c1_2090V3.1	
gene_c1_20910V3.1	gene_s257_15V2.1;gene_s257_16V2.1
gene_c1_20930V3.1	gene_s257_20V2.1
gene_c1_20960V3.1	gene_s257_22V2.1;gene_s257_23V2.1
gene_c1_20980V3.1	gene_s257_26V2.1;gene_s257_27V2.1
gene_c1_20V3.1	gene_s283_2V2.1
gene_c1_21000V3.1	gene_s257_28V2.1
gene_c1_21010V3.1	
gene_c1_21020V3.1	gene_s257_29V2.1
gene_c1_21050V3.1	gene_s257_30V2.1;gene_s257_31V2.1
gene_c1_210V3.1	gene_s283_28V2.1;gene_s283_31V2.1
gene_c1_21100V3.1	gene_s257_33V2.1
gene_c1_21110V3.1	gene_s257_34V2.1
gene_c1_21114V3.1	gene_s257_34V2.1
gene_c1_21120V3.1	gene_s257_37V2.1
gene_c1_21140V3.1	gene_s257_38V2.1
gene_c1_21150V3.1	gene_s257_39V2.1
gene_c1_21160V3.1	gene_s257_40V2.1
gene_c1_21200V3.1	gene_s257_43V2.1
gene_c1_21210V3.1	gene_s1139_2V2.1
gene_c1_21230V3.1	
gene_c1_21250V3.1	gene_s257_46V2.1
gene_c1_21270V3.1	gene_s257_47V2.1
gene_c1_21290V3.1	gene_s257_49V2.1
gene_c1_21300V3.1	
gene_c1_21310V3.1	
gene_c1_21320V3.1	gene_s257_55V2.1
gene_c1_21330V3.1	
gene_c1_21360V3.1	gene_s257_58V2.1
gene_c1_21370V3.1	gene_s257_59V2.1
gene_c1_21380V3.1	gene_s257_60V2.1
gene_c1_21400V3.1	gene_s257_61V2.1
gene_c1_21470V3.1	gene_s257_67V2.1
gene_c1_21480V3.1	gene_s257_69V2.1
gene_c1_21510V3.1	gene_s257_71V2.1
gene_c1_21530V3.1	gene_s257_72V2.1
gene_c1_21540V3.1	gene_s257_73V2.1
gene_c1_21550V3.1	gene_s257_74V2.1
gene_c1_21570V3.1	gene_s257_78V2.1;gene_s257_79V2.1;gene_s257_80V2.1
gene_c1_21610V3.1	gene_s257_83V2.1
gene_c1_2161V3.1	gene_s445_13V2.1
gene_c1_21620V3.1	gene_s257_84V2.1
gene_c1_21630V3.1	gene_s257_85V2.1
gene_c1_21650V3.1	gene_s257_88V2.1
gene_c1_21660V3.1	gene_s257_89V2.1
gene_c1_21670V3.1	
gene_c1_21680V3.1	gene_s257_90V2.1
gene_c1_21690V3.1	
gene_c1_21700V3.1	
gene_c1_2170V3.1	gene_s346_35V2.1;gene_s445_15V2.1
gene_c1_21720V3.1	
gene_c1_21730V3.1	gene_s257_93V2.1
gene_c1_21740V3.1	gene_s257_95V2.1
gene_c1_21760V3.1	gene_s257_96V2.1
gene_c1_21780V3.1	
gene_c1_21783V3.1	
gene_c1_21790V3.1	gene_s257_99V2.1
gene_c1_21800V3.1	gene_s257_100V2.1
gene_c1_21810V3.1	gene_s257_101V2.1
gene_c1_21840V3.1	gene_s257_103V2.1
